v1.1
0;0;20;9;#000000
0;2;1:0;16:7;3
0;2;1:0;18:7;3
0;2;1:0;17:8;3
0;2;1:2;16:6;5
0;2;1:1;14:7;3
0;2;1:1;13:7;3
0;2;1:1;12:7;3
0;2;1:1;11:7;3
0;2;1:1;10:7;3
0;2;1:1;9:7;3
0;2;1:1;8:7;3
0;2;1:1;7:7;3
0;2;1:1;6:7;3
0;2;1:1;5:7;3
0;2;1:1;4:7;3
0;2;1:1;3:7;3
0;2;1:1;2:7;3
0;2;1:1;1:7;3
0;2;1:2;16:8;3
0;2;1:2;14:8;3
0;2;1:2;13:8;3
0;2;1:2;12:8;3
0;2;1:2;11:8;3
0;2;1:2;10:8;3
0;2;1:2;9:8;3
0;2;1:2;8:8;3
0;2;1:2;7:8;3
0;2;1:2;6:8;3
0;2;1:2;5:8;3
0;2;1:2;4:8;3
0;2;1:2;3:8;3
0;2;1:2;2:8;3
0;2;1:2;1:8;3
0;2;1:2;18:8;3
0;2;1:2;19:8;3
0;2;1:2;15:8;3
0;2;1:1;19:7;3
0;2;1:1;15:7;3
3;2;0:0;2:6
0;2;0:0;13:6;3
0;2;0:0;5:6;3
0;1;1:0;10:2;6,50,2000,false,1
0;2;1:1;0:7;3
0;2;1:2;0:8;3